GeoFips,GeoName,Year,Per Capita Income,GDP,Population
0,United States,2006,38114,13814609,298379912
0,United States,2007,39844,14451860,301231207
0,United States,2008,40904,14712845,304093966
0,United States,2009,39284,14448932,306771529
0,United States,2010,40547,14992052,309321666
0,United States,2011,42739,15542582,311556874
0,United States,2012,44605,16197007,313830990
0,United States,2013,44860,16784851,315993715
0,United States,2014,47071,17527258,318301008
0,United States,2015,49019,18238301,320635163
1000,Alabama,2006,31362,164347.8,4628981
1000,Alabama,2007,32598,170263.9,4672840
1000,Alabama,2008,33353,172677.2,4718206
1000,Alabama,2009,32608,169128.5,4757938
1000,Alabama,2010,33752,175470.1,4785437
1000,Alabama,2011,34995,181929.9,4799069
1000,Alabama,2012,35884,186553.9,4815588
1000,Alabama,2013,36110,192166.5,4830081
1000,Alabama,2014,37271,195037.7,4841799
1000,Alabama,2015,38891,200197.5,4852347
2000,Alaska *,2006,41058,44457.1,675302
2000,Alaska *,2007,43861,49002.6,680300
2000,Alaska *,2008,47749,54759,687455
2000,Alaska *,2009,47069,49651.6,698895
2000,Alaska *,2010,49437,52947.7,713910
2000,Alaska *,2011,52384,56333.9,722128
2000,Alaska *,2012,53624,57717.5,730443
2000,Alaska *,2013,52722,56625.3,737068
2000,Alaska *,2014,55835,55750.6,736283
2000,Alaska *,2015,57635,50728.1,737498
4000,Arizona,2006,34686,248154.2,6029141
4000,Arizona,2007,35789,262245.3,6167681
4000,Arizona,2008,35563,259262.6,6280362
4000,Arizona,2009,33418,243764.6,6343154
4000,Arizona,2010,33638,248125.3,6407172
4000,Arizona,2011,34973,257881.1,6472643
4000,Arizona,2012,36132,268068.2,6554978
4000,Arizona,2013,36615,275007.5,6632764
4000,Arizona,2014,38246,284851.4,6730413
4000,Arizona,2015,39718,298615,6829676
5000,Arkansas,2006,29438,94451.6,2821761
5000,Arkansas,2007,31070,96991.9,2848650
5000,Arkansas,2008,31940,99014.4,2874554
5000,Arkansas,2009,31153,96983.7,2896843
5000,Arkansas,2010,31927,100970.8,2921964
5000,Arkansas,2011,33860,105107.8,2940667
5000,Arkansas,2012,36239,107718.8,2952164
5000,Arkansas,2013,36237,112764.6,2959400
5000,Arkansas,2014,38264,116151.8,2967392
5000,Arkansas,2015,39513,117734.3,2978048
6000,California,2006,42088,1874851.3,36021202
6000,California,2007,43629,1955320.9,36250311
6000,California,2008,43890,1990187.9,36604337
6000,California,2009,42044,1919271.1,36961229
6000,California,2010,43636,1973511.9,37319502
6000,California,2011,46175,2049336.8,37638369
6000,California,2012,48813,2144089.6,37948800
6000,California,2013,49303,2261510.6,38260787
6000,California,2014,52363,2399077.7,38596972
6000,California,2015,55833,2559643.2,38918045
8000,Colorado,2006,40140,231256.3,4720423
8000,Colorado,2007,42024,246151,4803868
8000,Colorado,2008,42689,255830.2,4889730
8000,Colorado,2009,39982,248669.1,4972195
8000,Colorado,2010,40689,255660.7,5047349
8000,Colorado,2011,43575,264310.2,5121108
8000,Colorado,2012,45669,273593.9,5192647
8000,Colorado,2013,47311,288383.5,5269035
8000,Colorado,2014,50711,305690.9,5350101
8000,Colorado,2015,52254,317992.4,5450623
9000,Connecticut,2006,53945,222914.3,3517460
9000,Connecticut,2007,57861,237397.6,3527270
9000,Connecticut,2008,61165,240576.2,3545579
9000,Connecticut,2009,59973,236921.6,3561807
9000,Connecticut,2010,62090,238051.6,3579114
9000,Connecticut,2011,63799,236816.3,3588283
9000,Connecticut,2012,64914,244114.4,3594547
9000,Connecticut,2013,63556,244127.5,3594841
9000,Connecticut,2014,66490,248778.9,3594524
9000,Connecticut,2015,68368,262372.7,3587122
10000,Delaware,2006,41041,54956.7,859268
10000,Delaware,2007,41687,56281.3,871749
10000,Delaware,2008,40722,54777.6,883874
10000,Delaware,2009,40690,57267.3,891730
10000,Delaware,2010,40825,57986.7,899593
10000,Delaware,2011,43891,60821.8,907381
10000,Delaware,2012,44077,61866.7,915179
10000,Delaware,2013,44338,61007.5,923576
10000,Delaware,2014,45993,67549.8,932487
10000,Delaware,2015,48017,71547.8,941252
11000,District of Columbia,2006,56075,88580.5,570681
11000,District of Columbia,2007,60028,94036.8,574404
11000,District of Columbia,2008,61117,99532.3,580236
11000,District of Columbia,2009,60448,100916.9,592228
11000,District of Columbia,2010,63582,106097.8,605226
11000,District of Columbia,2011,67419,109998.8,619800
11000,District of Columbia,2012,68397,112610,634924
11000,District of Columbia,2013,67923,115021.1,650581
11000,District of Columbia,2014,71354,119722.8,662328
11000,District of Columbia,2015,75457,124853.7,675400
12000,Florida,2006,38448,744660.6,18166990
12000,Florida,2007,39602,768568.1,18367842
12000,Florida,2008,39247,750972.8,18527305
12000,Florida,2009,36611,725658.1,18652644
12000,Florida,2010,38475,738242.3,18845537
12000,Florida,2011,40131,746535.3,19053237
12000,Florida,2012,41115,768722.9,19297822
12000,Florida,2013,40696,800886,19545621
12000,Florida,2014,43140,840386.4,19845911
12000,Florida,2015,45273,897754.7,20209042
13000,Georgia,2006,34687,402501.1,9155813
13000,Georgia,2007,35523,414779.6,9349988
13000,Georgia,2008,35175,411851.7,9504843
13000,Georgia,2009,34042,406066.3,9620846
13000,Georgia,2010,34521,414664,9711881
13000,Georgia,2011,36577,427826.9,9802431
13000,Georgia,2012,37254,443566.1,9901430
13000,Georgia,2013,37552,459578.7,9972479
13000,Georgia,2014,39802,485282.5,10067278
13000,Georgia,2015,41804,515753,10178447
15000,Hawaii *,2006,38711,62349.9,1309731
15000,Hawaii *,2007,40605,65223.8,1315675
15000,Hawaii *,2008,42080,66857.7,1332213
15000,Hawaii *,2009,41352,65711.3,1346717
15000,Hawaii *,2010,41921,68260.2,1363963
15000,Hawaii *,2011,43532,70630.1,1379329
15000,Hawaii *,2012,44778,73676.7,1394804
15000,Hawaii *,2013,44961,75807.8,1408243
15000,Hawaii *,2014,47257,77819.3,1414538
15000,Hawaii *,2015,49489,82644,1422052
16000,Idaho,2006,31431,50985.5,1468669
16000,Idaho,2007,32638,53864.9,1505105
16000,Idaho,2008,32722,55584.4,1534320
16000,Idaho,2009,31186,53763.9,1554439
16000,Idaho,2010,31957,55215.3,1570746
16000,Idaho,2011,33514,56516.4,1583910
16000,Idaho,2012,35190,57780.1,1595324
16000,Idaho,2013,36208,61155.2,1611206
16000,Idaho,2014,37905,63799.4,1631112
16000,Idaho,2015,39783,66082,1651059
