,gvkey,fiscal_year,fiscal_month
0,1004,2006.0,5.0
1,1004,2007.0,5.0
2,1004,2008.0,5.0
3,1004,2009.0,5.0
4,1004,2010.0,5.0
5,1004,2011.0,5.0
6,1004,2012.0,5.0
7,1004,2013.0,5.0
8,1004,2014.0,5.0
9,1004,2015.0,5.0
10,1034,2006.0,12.0
11,1034,2007.0,12.0
12,1045,2006.0,12.0
13,1045,2007.0,12.0
14,1045,2008.0,12.0
15,1045,2009.0,12.0
16,1045,2010.0,12.0
17,1045,2011.0,12.0
18,1045,2012.0,12.0
19,1045,2013.0,12.0
20,1045,2014.0,12.0
21,1045,2015.0,12.0
22,1048,2006.0,12.0
23,1056,2006.0,6.0
24,1075,2006.0,12.0
25,1075,2007.0,12.0
26,1075,2008.0,12.0
27,1075,2009.0,12.0
28,1075,2010.0,12.0
29,1075,2011.0,12.0
30,1075,2012.0,12.0
31,1075,2013.0,12.0
32,1075,2014.0,12.0
33,1075,2015.0,12.0
34,1078,2006.0,12.0
35,1078,2007.0,12.0
36,1078,2008.0,12.0
37,1078,2009.0,12.0
38,1078,2010.0,12.0
39,1078,2011.0,12.0
40,1078,2012.0,12.0
41,1078,2013.0,12.0
42,1078,2014.0,12.0
43,1078,2015.0,12.0
44,1111,2006.0,3.0
45,1111,2007.0,3.0
46,1161,2006.0,12.0
47,1161,2007.0,12.0
48,1161,2008.0,12.0
49,1161,2009.0,12.0
50,1161,2010.0,12.0
51,1161,2011.0,12.0
52,1161,2012.0,12.0
53,1161,2013.0,12.0
54,1161,2014.0,12.0
55,1161,2015.0,12.0
57,1177,2006.0,12.0
59,1177,2007.0,12.0
61,1177,2008.0,12.0
63,1177,2009.0,12.0
65,1177,2010.0,12.0
67,1177,2011.0,12.0
69,1177,2012.0,12.0
71,1177,2013.0,12.0
73,1177,2014.0,12.0
75,1177,2015.0,12.0
76,1209,2006.0,9.0
77,1209,2007.0,9.0
78,1209,2008.0,9.0
79,1209,2009.0,9.0
80,1209,2010.0,9.0
81,1209,2011.0,9.0
82,1209,2012.0,9.0
83,1209,2013.0,9.0
84,1209,2014.0,9.0
85,1209,2015.0,9.0
86,1224,2006.0,12.0
87,1224,2007.0,12.0
88,1224,2008.0,12.0
89,1224,2009.0,12.0
90,1224,2010.0,12.0
91,1224,2011.0,12.0
92,1224,2012.0,12.0
93,1224,2013.0,12.0
94,1224,2014.0,9.0
95,1224,2015.0,9.0
96,1225,2006.0,12.0
97,1225,2007.0,12.0
98,1225,2008.0,12.0
99,1225,2009.0,12.0
100,1225,2010.0,12.0
101,1225,2011.0,12.0
102,1225,2012.0,12.0
103,1225,2013.0,12.0
104,1225,2014.0,12.0
105,1225,2015.0,12.0
106,1230,2006.0,12.0
107,1230,2007.0,12.0
108,1230,2008.0,12.0
109,1230,2009.0,12.0
110,1230,2010.0,12.0
111,1230,2011.0,12.0
112,1230,2012.0,12.0
113,1230,2013.0,12.0
114,1230,2014.0,12.0
115,1230,2015.0,12.0
116,1239,2006.0,9.0
117,1239,2007.0,9.0
118,1239,2008.0,9.0
119,1239,2009.0,9.0
120,1239,2010.0,9.0
121,1246,2006.0,9.0
122,1246,2007.0,9.0
123,1246,2008.0,9.0
124,1254,2006.0,12.0
125,1254,2007.0,12.0
126,1254,2008.0,12.0
127,1254,2009.0,12.0
128,1254,2010.0,12.0
129,1254,2011.0,12.0
130,1254,2012.0,12.0
131,1254,2013.0,12.0
132,1254,2014.0,12.0
133,1254,2015.0,12.0
135,1274,2006.0,12.0
137,1274,2007.0,12.0
139,1274,2008.0,12.0
141,1274,2009.0,12.0
143,1274,2010.0,12.0
145,1274,2011.0,12.0
147,1274,2012.0,12.0
149,1274,2013.0,12.0
151,1274,2014.0,12.0
153,1274,2015.0,12.0
154,1279,2006.0,12.0
155,1279,2007.0,12.0
156,1279,2008.0,12.0
157,1279,2009.0,12.0
158,1279,2010.0,12.0
