gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,fyr,costat
1004,31/05/2007,2006,INDL,C,D,STD,USD,5,A
1004,31/05/2008,2007,INDL,C,D,STD,USD,5,A
1004,31/05/2009,2008,INDL,C,D,STD,USD,5,A
1004,31/05/2010,2009,INDL,C,D,STD,USD,5,A
1004,31/05/2011,2010,INDL,C,D,STD,USD,5,A
1004,31/05/2012,2011,INDL,C,D,STD,USD,5,A
1004,31/05/2013,2012,INDL,C,D,STD,USD,5,A
1004,31/05/2014,2013,INDL,C,D,STD,USD,5,A
1004,31/05/2015,2014,INDL,C,D,STD,USD,5,A
1004,31/05/2016,2015,INDL,C,D,STD,USD,5,A
1034,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1034,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1045,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1045,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1045,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1045,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1045,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1045,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1045,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1045,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1045,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1045,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1048,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1056,30/06/2006,2006,INDL,C,D,STD,USD,6,I
1075,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1075,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1075,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1075,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1075,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1075,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1075,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1075,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1075,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1075,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1078,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1078,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1078,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1078,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1078,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1078,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1078,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1078,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1078,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1078,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1111,31/03/2007,2006,INDL,C,D,STD,USD,3,I
1111,31/03/2008,2007,INDL,C,D,STD,USD,3,I
1161,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1161,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1161,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1161,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1161,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1161,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1161,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1161,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1161,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1161,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1177,31/12/2006,2006,FS,C,D,STD,USD,12,I
1177,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1177,31/12/2007,2007,FS,C,D,STD,USD,12,I
1177,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1177,31/12/2008,2008,FS,C,D,STD,USD,12,I
1177,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1177,31/12/2009,2009,FS,C,D,STD,USD,12,I
1177,31/12/2009,2009,INDL,C,D,STD,USD,12,I
1177,31/12/2010,2010,FS,C,D,STD,USD,12,I
1177,31/12/2010,2010,INDL,C,D,STD,USD,12,I
1177,31/12/2011,2011,FS,C,D,STD,USD,12,I
1177,31/12/2011,2011,INDL,C,D,STD,USD,12,I
1177,31/12/2012,2012,FS,C,D,STD,USD,12,I
1177,31/12/2012,2012,INDL,C,D,STD,USD,12,I
1177,31/12/2013,2013,FS,C,D,STD,USD,12,I
1177,31/12/2013,2013,INDL,C,D,STD,USD,12,I
1177,31/12/2014,2014,INDL,C,D,STD,USD,12,I
1177,31/12/2014,2014,FS,C,D,STD,USD,12,I
1177,31/12/2015,2015,INDL,C,D,STD,USD,12,I
1177,31/12/2015,2015,FS,C,D,STD,USD,12,I
1209,30/09/2006,2006,INDL,C,D,STD,USD,9,A
1209,30/09/2007,2007,INDL,C,D,STD,USD,9,A
1209,30/09/2008,2008,INDL,C,D,STD,USD,9,A
1209,30/09/2009,2009,INDL,C,D,STD,USD,9,A
1209,30/09/2010,2010,INDL,C,D,STD,USD,9,A
1209,30/09/2011,2011,INDL,C,D,STD,USD,9,A
