,GeoName,Year,Per Capita Income,GDP_per_capita
0,United States,2006,38114,0.04629872335373569
1,United States,2007,39844,0.04797597215749296
2,United States,2008,40904,0.048382561461282
3,United States,2009,39284,0.04709997712988548
4,United States,2010,40547,0.04846751342662172
5,United States,2011,42739,0.04988682098537168
6,United States,2012,44605,0.05161060416627434
7,United States,2013,44860,0.05311767355879214
8,United States,2014,47071,0.05506504082450157
9,United States,2015,49019,0.056881786855049334
10,Alabama,2006,31362,0.035504099066295584
11,Alabama,2007,32598,0.036436920587908
12,Alabama,2008,33353,0.03659806290780861
13,Alabama,2009,32608,0.035546596025421096
14,Alabama,2010,33752,0.03666751855682146
15,Alabama,2011,34995,0.037909415347018346
16,Alabama,2012,35884,0.038739589017997386
17,Alabama,2013,36110,0.0397853576368595
18,Alabama,2014,37271,0.0402820728411072
19,Alabama,2015,38891,0.041257869645348944
20,Alaska,2006,41058,0.06583291623599516
21,Alaska,2007,43861,0.07203086873438189
22,Alaska,2008,47749,0.07965466830556182
23,Alaska,2009,47069,0.07104300359853769
24,Alaska,2010,49437,0.07416579120617445
25,Alaska,2011,52384,0.07801096204550995
26,Alaska,2012,53624,0.07901711700981459
27,Alaska,2013,52722,0.0768250690574004
28,Alaska,2014,55835,0.07571898305407024
29,Alaska,2015,57635,0.06878405093979915
30,Arizona,2006,34686,0.041159130297334236
31,Arizona,2007,35789,0.04251927101936692
32,Arizona,2008,35563,0.04128147390230054
33,Arizona,2009,33418,0.03842955728333255
34,Arizona,2010,33638,0.03872618059886639
35,Arizona,2011,34973,0.03984169990527826
36,Arizona,2012,36132,0.0408953622727643
37,Arizona,2013,36615,0.04146197573138438
38,Arizona,2014,38246,0.04232301940460415
39,Arizona,2015,39718,0.043723157584635054
40,Arkansas,2006,29438,0.03347257262397489
41,Arkansas,2007,31070,0.03404837379109402
42,Arkansas,2008,31940,0.03444513479308442
43,Arkansas,2009,31153,0.033479101214667135
44,Arkansas,2010,31927,0.03455579877096364
45,Arkansas,2011,33860,0.03574284337532947
46,Arkansas,2012,36239,0.03648808128545704
47,Arkansas,2013,36237,0.0381038724065689
48,Arkansas,2014,38264,0.039142721959215365
49,Arkansas,2015,39513,0.039534050492134445
50,California,2006,42088,0.052048549073959276
51,California,2007,43629,0.05393942413349226
52,California,2008,43890,0.054370275850099396
