conml,gvkey,Rating,state,year,PerCapitaIncome,GDP_per_capita,debt_at,debt_assets,debt_ebitda,cash_debt,ratio_year
American Airlines Group Inc,1045,BB-,Texas,2015,46553,0.0569483476844751,0.407,0.935,2.188,0.074,2015
Pinnacle West Capital Corp,1075,A-,Arizona,2015,39718,0.0437231575846351,0.254,0.685,2.893,0.112,2015
Abbott Laboratories,1078,A+,Illinois,2015,51753,0.0618501812711541,0.198,0.483,1.773,0.187,2015
Advanced Micro Devices Inc,1161,CCC+,California,2015,55833,0.0657700868581657,0.653,1.02,-20.663,-0.027,2015
Aetna Inc.,1177,A,Connecticut,2015,68368,0.0731429541565634,0.149,0.719,1.518,0.087,2015
Alaska Air Group Inc.,1230,BBB-,Washington,2015,53870,0.0658466478783113,0.118,0.654,0.483,0.254,2015
Alleghany Corp,1274,BBB+,New York,2015,59243,0.075586163611226,0.075,0.68,1.788,0.023,2015
Honeywell International Inc,1300,A,North Carolina,2015,41839,0.050122223212422,0.21,0.603,1.246,0.183,2015
Alcoa Inc,1356,BBB-,New York,2015,59243,0.075586163611226,0.244,0.604,2.32,0.074,2015
Hess Corp,1380,BBB,New York,2015,59243,0.075586163611226,0.167,0.404,2.076,0.275,2015
Primerica Inc,1414,A-,Georgia,2015,41804,0.0506710896072849,0.062,0.887,1.974,0.025,2015
US Ecology Inc,1439,BB,Idaho,2015,39783,0.0400240088331186,0.422,0.716,3.018,0.107,2015
American Electric Power Co Inc,1440,BBB,Ohio,2015,44405,0.0524484858094154,0.337,0.714,3.803,0.108,2015
American Express Co,1447,BBB+,New York,2015,59243,0.075586163611226,0.364,0.863,5.691,0.079,2015
AFLAC Inc,1449,A-,Georgia,2015,41804,0.0506710896072849,0.045,0.85,1.088,0.065,2015
American International Group Inc,1487,A-,New York,2015,59243,0.075586163611226,0.061,0.795,2.199,0.012,2015
American National Group Inc,1526,A,Texas,2015,46553,0.0569483476844751,0.005,0.809,0.363,0.029,2015
AMETEK Inc,1598,BBB+,Pennsylvania,2015,50407,0.0556743752320133,0.268,0.489,1.602,0.228,2015
Amgen Inc,1602,A,California,2015,55833,0.0657700868581657,0.444,0.617,2.989,0.198,2015
APA Corp,1678,BBB+,Texas,2015,46553,0.0569483476844751,0.25,0.515,-2.479,0.304,2015
Archer-Daniels-Midland Co,1722,A,Illinois,2015,51753,0.0618501812711541,0.155,0.552,1.887,0.203,2015
