,gvkey,debt_at,debt_ebitda,debt_assets,cash_debt,year
11,1004,0.32799999999999996,2.987,0.573,-0.073,2006
23,1004,0.312,2.515,0.537,-0.037000000000000005,2007
35,1004,0.375,3.15,0.56,0.022000000000000002,2008
47,1004,0.341,-3.4360000000000004,0.522,0.08900000000000001,2009
59,1004,0.275,3.6519999999999997,0.47700000000000004,0.203,2010
71,1004,0.27399999999999997,3.0189999999999997,0.51,0.125,2011
83,1004,0.34600000000000003,3.0580000000000003,0.583,0.071,2012
95,1004,0.336,2.948,0.575,0.134,2013
107,1004,0.303,3.0989999999999998,0.5489999999999999,0.11699999999999999,2014
119,1004,0.217,6.819,0.509,-0.064,2015
131,1034,0.08,0.616,0.257,0.35100000000000003,2006
143,1034,0.192,2.762,0.36700000000000005,0.21100000000000002,2007
154,1034,0.226,-5.9110000000000005,0.41600000000000004,0.084,2008
166,1045,0.474,7.667999999999999,1.031,0.033,2006
178,1045,0.426,5.195,0.991,0.065,2007
190,1045,0.389,16.090999999999998,0.932,0.075,2008
202,1045,0.431,17.489,1.12,-0.05,2009
214,1045,0.45,11.431,1.146,0.032,2010
226,1045,0.455,13.017000000000001,1.168,0.043,2011
228,1045,0.345,11.827,1.298,0.022000000000000002,2012
239,1045,0.385,2.963,0.958,0.015,2014
251,1045,0.40700000000000003,2.188,0.935,0.07400000000000001,2015
263,1056,0.006999999999999999,0.053,0.237,0.244,2006
270,1056,0.006,0.048,0.233,0.244,2007
282,1075,0.287,3.193,0.6970000000000001,0.092,2006
294,1075,0.302,3.4389999999999996,0.6920000000000001,0.049,2007
306,1075,0.317,3.873,0.6829999999999999,0.085,2008
318,1075,0.34299999999999997,4.006,0.715,0.1,2009
330,1075,0.316,3.418,0.708,0.122,2010
342,1075,0.298,3.2569999999999997,0.6970000000000001,0.087,2011
354,1075,0.267,2.853,0.7,0.12300000000000001,2012
366,1075,0.253,2.662,0.688,0.126,2013
378,1075,0.257,2.825,0.675,0.126,2014
390,1075,0.254,2.8930000000000002,0.685,0.11199999999999999,2015
402,1078,0.262,1.297,0.523,0.35100000000000003,2006
