,Company,gvkey,state,year,PerCapitaIncome,GDP_per_capita,debt_at,debt_assets,debt_ebitda,cash_debt,flood_count,heat_count,tornado_count,tropical_storm_count,wildfire_count,winter_storm_count,flood_crop,heat_crop,tornado_crop,tropical_storm_crop,wildfire_crop,winter_storm_crop,flood_property,heat_property,tornado_property,tropical_storm_property,wildfire_property,winter_storm_property,flood_injury,heat_injury,tornado_injury,tropical_storm_injury,wildfire_injury,winter_storm_injury,flood_death,heat_death,tornado_death,tropical_storm_death,wildfire_death,winter_storm_death,avg_tornado_scale,flood_dummy,heat_dummy,tornado_dummy,tropical_storm_dummy,wildfire_dummy,winter_storm_dummy,Rating_num
0,American Airlines Group Inc,1045,Texas,2015,46553,0.0569483476844751,0.40700000000000003,0.935,2.188,0.07400000000000001,175.0,49.0,258.0,20.0,40.0,131.0,97300000.0,0.0,290000.0,0.0,15000.0,0.0,43550500.0,0.0,116771000.0,0.0,650000.0,182000.0,0.0,1.0,708.0,0.0,1.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,1.5310077519379846,1,1,1,1,1,1,5
1,Pinnacle West Capital Corp,1075,Arizona,2015,39718,0.0437231575846351,0.254,0.685,2.8930000000000002,0.11199999999999999,6.0,2.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,550000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,1,1,3
2,Abbott Laboratories,1078,Illinois,2015,51753,0.0618501812711541,0.198,0.483,1.7730000000000001,0.187,98.0,46.0,83.0,0.0,1.0,83.0,1141000.0,0.0,95000.0,0.0,0.0,0.0,7375000.0,0.0,50995000.0,0.0,0.0,150000.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,1.7469879518072289,1,1,1,0,1,1,3
3,Advanced Micro Devices Inc,1161,California,2015,55833,0.0657700868581657,0.653,1.02,-20.663,-0.027000000000000003,31.0,1.0,10.0,0.0,34.0,5.0,0.0,0.0,200000.0,0.0,0.0,0.0,193000.0,0.0,20025000.0,0.0,1956000.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1,1,1,0,1,1,7
4,Aetna Inc.,1177,Connecticut,2015,68368,0.0731429541565634,0.149,0.7190000000000001,1.518,0.087,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,3
5,Alaska Air Group Inc.,1230,Washington,2015,53870,0.0658466478783113,0.11800000000000001,0.654,0.483,0.254,22.0,2.0,2.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5121500.0,0.0,311000.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,1,0,1,1,4
6,Alleghany Corp,1274,New York,2015,59243,0.075586163611226,0.075,0.68,1.788,0.023,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,4
7,Honeywell International Inc,1300,North Carolina,2015,41839,0.050122223212422004,0.21,0.603,1.246,0.183,108.0,9.0,9.0,8.0,1.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,633500.0,0.0,227500.0,0.0,200000.0,9500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1,1,1,1,1,1,3
8,Alcoa Inc,1356,New York,2015,59243,0.075586163611226,0.244,0.604,2.32,0.07400000000000001,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,4
9,Hess Corp,1380,New York,2015,59243,0.075586163611226,0.16699999999999998,0.40399999999999997,2.076,0.275,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,4
10,Primerica Inc,1414,Georgia,2015,41804,0.0506710896072849,0.062,0.887,1.974,0.025,10.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,254000.0,0.0,743000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1,0,1,0,0,1,3
11,US Ecology Inc,1439,Idaho,2015,39783,0.0400240088331186,0.42200000000000004,0.716,3.0180000000000002,0.107,9.0,0.0,1.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,8500000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,1,1,5
12,American Electric Power Co Inc,1440,Ohio,2015,44405,0.0524484858094154,0.337,0.7140000000000001,3.803,0.10800000000000001,116.0,0.0,7.0,0.0,0.0,76.0,275000.0,0.0,5000.0,0.0,0.0,0.0,13578000.0,0.0,890000.0,0.0,0.0,5050000.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,1,0,1,0,0,1,4
13,American Express Co,1447,New York,2015,59243,0.075586163611226,0.364,0.863,5.691,0.079,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,4
14,AFLAC Inc,1449,Georgia,2015,41804,0.0506710896072849,0.045,0.85,1.088,0.065,10.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,254000.0,0.0,743000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1,0,1,0,0,1,3
15,American International Group Inc,1487,New York,2015,59243,0.075586163611226,0.061,0.795,2.199,0.012,12.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,35000.0,0.0,0.0,695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,0,1,3
16,American National Group Inc,1526,Texas,2015,46553,0.0569483476844751,0.005,0.809,0.363,0.028999999999999998,175.0,49.0,258.0,20.0,40.0,131.0,97300000.0,0.0,290000.0,0.0,15000.0,0.0,43550500.0,0.0,116771000.0,0.0,650000.0,182000.0,0.0,1.0,708.0,0.0,1.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,1.5310077519379846,1,1,1,1,1,1,3
17,AMETEK Inc,1598,Pennsylvania,2015,50407,0.0556743752320133,0.268,0.489,1.6019999999999999,0.228,35.0,14.0,12.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,181000.0,0.0,5265000.0,0.0,3500.0,600000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,1,1,1,0,1,1,4
18,Amgen Inc,1602,California,2015,55833,0.0657700868581657,0.444,0.617,2.989,0.198,31.0,1.0,10.0,0.0,34.0,5.0,0.0,0.0,200000.0,0.0,0.0,0.0,193000.0,0.0,20025000.0,0.0,1956000.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1,1,1,0,1,1,3
