,Model,Independent variable1,Independent variable2,Independent variable3,Adjusted R2,Coefficient1,Coefficient2,Coefficient3
0,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,0.06061045719939928,0.000381892635954668,0.03338768040389633,0.00042800163867401484
1,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,0.06108819202205562,0.00042626256585134463,0.03985617679635566,0.03146864000303847
2,Fixed effect,tornado_count,tropical_storm_death,wildfire_count,0.061150584688928866,0.0004632419707768892,0.04059245528238482,0.00023702850700316368
3,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_dummy,0.060448443629134485,0.0004254085422810772,0.04126044536231327,-0.0004784487281763469
4,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,0.060451090744291114,0.00040652070569951543,0.0412051421527346,7.209697633253721e-06
5,Fixed effect,tornado_count,tropical_storm_death,flood_count,0.060603950851147004,0.00035252381902602505,0.03953643936802378,0.00012116297792521347
6,Fixed effect,tornado_count,tropical_storm_death,flood_death,0.06107985689445705,0.00032794957192477405,0.03828900329733028,0.00675901113221376
7,Fixed effect,tornado_count,tropical_storm_death,avg_tornado_scale,0.060624044935783994,0.0003921819718247538,0.040249058708108416,0.014601147774625784
8,Fixed effect,tornado_count,tropical_storm_death,PerCapitaIncome,0.060662703304617205,0.0004148604036584166,0.04117428257354935,-1.8038390713693578e-06
9,Fixed effect,tornado_count,tropical_storm_death,GDP_per_capita,0.06094058121975343,0.00040700150414103197,0.040648203797555425,-2.551185733185972
10,Fixed effect,tornado_count,tropical_storm_death,heat_death,0.061296085444124904,0.00045530517384689676,0.04073035501564952,-0.0014549561412490458
11,Fixed effect,tornado_count,tropical_storm_death,winter_storm_count,0.061886700929774,0.0003657313699212744,0.0444386072893128,0.0002961705885546622
12,Fixed effect,tornado_count,tropical_storm_count,wildfire_dummy,0.060635964914149465,0.0004047717127734906,0.0007672737439071125,0.031552236361784614
13,Fixed effect,tornado_count,tropical_storm_count,wildfire_count,0.06074008630697103,0.00043815287046673957,0.0008142004712949954,0.0002443773130162817
14,Fixed effect,tornado_count,tropical_storm_count,tropical_storm_dummy,0.0600707377307208,0.0004397823399535107,0.0009494445004388233,-0.013269366697228419
15,Fixed effect,tornado_count,tropical_storm_count,tornado_injury,0.05999864061026039,0.00037551354626775754,0.0008109588681260905,9.951898979837449e-06
16,Fixed effect,tornado_count,tropical_storm_count,flood_count,0.060165089774745883,0.000327230776086556,0.0007623173571743021,0.00012738448367077745
17,Fixed effect,tornado_count,tropical_storm_count,flood_death,0.06070698652636464,0.0002981909174868571,0.0007595993974285149,0.007165111747276715
18,Fixed effect,tornado_count,tropical_storm_count,avg_tornado_scale,0.06021250388596777,0.0003631577287355974,0.0008009914139967785,0.01627906632644989
19,Fixed effect,tornado_count,tropical_storm_count,PerCapitaIncome,0.060177891653110605,0.0003933316504012314,0.0007921989282384237,-1.6749352450838244e-06
20,Fixed effect,tornado_count,tropical_storm_count,GDP_per_capita,0.060445290830298815,0.0003875421370710029,0.0007694529748592452,-2.448605935273904
21,Fixed effect,tornado_count,tropical_storm_count,heat_death,0.060746589094992975,0.00043741788102327745,0.0007412350770542471,-0.0013759555795621443
22,Fixed effect,tornado_count,tropical_storm_count,winter_storm_count,0.06133549599565158,0.00034316784656061915,0.0008585673879354362,0.0002856543483842992
23,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,0.060671724637237356,0.0005461452656866598,0.03224636362454716,0.00023532589681002735
24,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,0.05999878624967947,0.00048188364837061523,0.03316712789641372,0.005772021287518208
25,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,0.05998392652171214,0.000528091189691994,0.03361759451376769,-8.675821815162502e-06
26,Fixed effect,tornado_count,wildfire_dummy,flood_count,0.06041846059791367,0.00038219628413540163,0.03767941077111378,0.00020497577803244127
27,Fixed effect,tornado_count,wildfire_dummy,flood_death,0.06085598212951382,0.00038883359157482336,0.035000533083499624,0.00793199686852426
28,Fixed effect,tornado_count,wildfire_dummy,avg_tornado_scale,0.060234118208030374,0.00046800989703797984,0.033782866752521276,0.017533373466395573
29,Fixed effect,tornado_count,wildfire_dummy,PerCapitaIncome,0.06014827795812505,0.000500192864656937,0.03225183937608343,-1.6016037562793696e-06
30,Fixed effect,tornado_count,wildfire_dummy,GDP_per_capita,0.060386340243989145,0.0004918033638545262,0.03062150118047365,-2.3306263540161423
31,Fixed effect,tornado_count,wildfire_dummy,heat_death,0.060795214176988854,0.0005381870569548354,0.03191747023648351,-0.0014277209127126478
32,Fixed effect,tornado_count,wildfire_dummy,winter_storm_count,0.06131664534441705,0.0004587102346150687,0.03525745478280369,0.00028504391652811936
33,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,0.060067177746716216,0.0004990384102968336,0.0002515405447336959,0.01104564970920631
34,Fixed effect,tornado_count,wildfire_count,tornado_injury,0.06000518917728581,0.0005226031890604294,0.00024356995883516717,1.0589500518649094e-05
35,Fixed effect,tornado_count,wildfire_count,flood_count,0.06045390372131598,0.0004246265338500833,0.00027695215978977084,0.00020911016764864777
36,Fixed effect,tornado_count,wildfire_count,flood_death,0.0611013511205547,0.00042009438493442687,0.0002918562242062519,0.009008134831135987
37,Fixed effect,tornado_count,wildfire_count,avg_tornado_scale,0.06023392183192011,0.0005090194540345613,0.00024298181366963517,0.01684465191699167
38,Fixed effect,tornado_count,wildfire_count,PerCapitaIncome,0.060188000776204564,0.0005384752315223309,0.00023848906610918246,-1.6937561873753529e-06
39,Fixed effect,tornado_count,wildfire_count,GDP_per_capita,0.06044904133953832,0.0005284920265773758,0.0002307173388388762,-2.443159244341824
40,Fixed effect,tornado_count,wildfire_count,heat_death,0.061986291854812636,0.0006282792571645208,0.0004214746673819275,-0.0024408369559090035
41,Fixed effect,tornado_count,wildfire_count,winter_storm_count,0.061127883074118095,0.0004986848825632255,0.00022221030573932405,0.00026229848495057774
42,Fixed effect,tornado_count,tropical_storm_dummy,tornado_injury,0.05928976857851487,0.0004606580177351741,0.006717893220110677,7.2045108254104815e-06
43,Fixed effect,tornado_count,tropical_storm_dummy,flood_count,0.0595259857847934,0.0004063425196079351,0.001595401271878865,0.00015363374536019343
44,Fixed effect,tornado_count,tropical_storm_dummy,flood_death,0.060064675106916154,0.00039570069364301154,-0.00045402192796639154,0.007600510278698344
45,Fixed effect,tornado_count,tropical_storm_dummy,avg_tornado_scale,0.059533861846893354,0.0004312965660495533,0.008246773123145274,0.017326576733871443
46,Fixed effect,tornado_count,tropical_storm_dummy,PerCapitaIncome,0.05949378171248998,0.0004751867380372732,0.005353289958793369,-1.7754995647676224e-06
47,Fixed effect,tornado_count,tropical_storm_dummy,GDP_per_capita,0.05979417098603901,0.0004727883735849036,0.0037925576926621293,-2.6005734421820046
48,Fixed effect,tornado_count,tropical_storm_dummy,heat_death,0.06013721831310259,0.0005345153549173066,0.0009987785785833768,-0.0014722070239275794
49,Fixed effect,tornado_count,tropical_storm_dummy,winter_storm_count,0.060514915560288984,0.0004528349582290525,0.0016805817643843867,0.00027448332325347873
50,Fixed effect,tornado_count,tornado_injury,flood_count,0.05953056887388375,0.00038625700284570895,1.0569574118299368e-05,0.00015778857927627207
51,Fixed effect,tornado_count,tornado_injury,flood_death,0.0600791153276371,0.0003539190506589846,1.6571306124686063e-05,0.007667751433820559
52,Fixed effect,tornado_count,tornado_injury,avg_tornado_scale,0.059496045951314525,0.00046340707049912996,2.6566872925335693e-06,0.01676398223912896
53,Fixed effect,tornado_count,tornado_injury,PerCapitaIncome,0.0594886973122396,0.00046495768476994577,1.4492222238466973e-05,-1.8598754476996144e-06
54,Fixed effect,tornado_count,tornado_injury,GDP_per_capita,0.05980028812492255,0.0004510335282147263,1.6377784136233056e-05,-2.6747438603133413
55,Fixed effect,tornado_count,tornado_injury,heat_death,0.06013695743567893,0.0005446268560911769,-2.3408291657107813e-06,-0.0014794314190597151
56,Fixed effect,tornado_count,tornado_injury,winter_storm_count,0.0605133473446936,0.000459223366623267,4.220562284514913e-07,0.00027549303359359695
57,Fixed effect,tornado_count,flood_count,flood_death,0.06008187819196997,0.00037469072270079716,4.473037100213002e-05,0.00703750701272549
58,Fixed effect,tornado_count,flood_count,avg_tornado_scale,0.05972589271542417,0.00038218791548577473,0.00014682046600503543,0.015636412020951996
59,Fixed effect,tornado_count,flood_count,PerCapitaIncome,0.05978274757213431,0.0003945419674960466,0.00016917502905347987,-1.9860048705662168e-06
60,Fixed effect,tornado_count,flood_count,GDP_per_capita,0.06007631471921515,0.0003882761394898956,0.00016454439255593337,-2.7019545049121665
61,Fixed effect,tornado_count,flood_count,heat_death,0.06030908462181517,0.00045949320368245773,0.00012747266540973198,-0.0014074295412427466
62,Fixed effect,tornado_count,flood_count,winter_storm_count,0.060580080672852143,0.0004131287485626721,8.110093958848885e-05,0.00026024547922583055
63,Fixed effect,tornado_count,flood_death,avg_tornado_scale,0.06025336383475577,0.00036261615861075567,0.007380266432605498,0.015130760543895033
64,Fixed effect,tornado_count,flood_death,PerCapitaIncome,0.06032681646770921,0.00038099187070882607,0.007811956082880513,-1.9978508970252713e-06
65,Fixed effect,tornado_count,flood_death,GDP_per_capita,0.060615125102358336,0.0003735068931916411,0.007709586863914833,-2.698001955081411
66,Fixed effect,tornado_count,flood_death,heat_death,0.060936763122778514,0.0004254838061186803,0.007572442336481688,-0.0014756436037788483
67,Fixed effect,tornado_count,flood_death,winter_storm_count,0.06106911575547347,0.0003690829445430909,0.0063749305183369255,0.0002493694695677508
68,Fixed effect,tornado_count,avg_tornado_scale,PerCapitaIncome,0.059678905248457204,0.0004642061897372331,0.015644586978415895,-1.6726773386097236e-06
69,Fixed effect,tornado_count,avg_tornado_scale,GDP_per_capita,0.05997984469396622,0.0004554737031739811,0.015331779350202841,-2.5342672692017914
