,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4
0,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,0.06113751734223094,0.0003878589989293195,0.032667018172830097,0.0003955019815980037,0.0308988097721593
1,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,0.06123559601393613,0.0004205901760888085,0.03250148461143141,0.00044333914304127956,0.00023904275363816792
2,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,0.06056933263643449,0.0004143770817713252,0.032674670860114975,0.0005470116017795969,-0.010464965937486746
3,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,0.06052575584388198,0.000360725077354644,0.033361868032627306,0.00043018866995814747,8.953015187556598e-06
4,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,0.06065458952464908,0.0003190412203583911,0.03239218696846828,0.0003983031364125801,0.00011237444435057611
5,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_death,0.061140639520516626,0.00028898872301099906,0.03081504529567965,0.00041133449208694125,0.006693431023653178
6,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,avg_tornado_scale,0.06070082786217923,0.00034989834597077386,0.03234661774580802,0.00043275158310351235,0.0147507868255983
7,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,PerCapitaIncome,0.060719683804323465,0.00037576538454347716,0.033761555123162895,0.0004064721619120114,-1.736124598958246e-06
8,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,GDP_per_capita,0.06098263697894457,0.00037013260178460464,0.03363636975496636,0.00038536300903273013,-2.4734436423176662
9,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,heat_death,0.061312936886641634,0.00042069785984966563,0.03441702221846454,0.0003469228757590265,-0.0014108938369445654
10,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,winter_storm_count,0.06197423833815208,0.0003221496721514701,0.036312548522432445,0.00044643981752200097,0.0002976632578339057
11,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,0.06166084429876628,0.00046486306132275426,0.039314901128751537,0.030465132758024344,0.0002301621343498283
12,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,0.06099990487676665,0.0004308035082692923,0.040005717417977676,0.031486201951187905,-0.0010790298971439082
