,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Independent variable5,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4,Coefficient5
0,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,wildfire_count,0.061721581085675714,0.00042524359048154567,0.031830457854790314,0.00041148725725787135,0.029863528960949685,0.00023216725884324523
1,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,tropical_storm_dummy,0.06109639319581517,0.00042032773892654746,0.031954375185109775,0.0005144564166769469,0.030897666208632962,-0.010459977394857444
2,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,tornado_injury,0.06104996259913764,0.00040001933219780474,0.032677327034881735,0.00039404761112198225,0.031090662864882695,-5.1276569283871335e-06
3,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,flood_count,0.06130944675321015,0.0002991777594708609,0.031167718101371897,0.00034949562237842485,0.03448812719947612,0.0001597957460695256
4,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,flood_death,0.06173500844941271,0.000290238028865302,0.029915447751531776,0.000376157759981942,0.032583953460962614,0.007056723313834602
5,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,avg_tornado_scale,0.061246340824374745,0.00035434269160611716,0.03156254135540356,0.00039999790225697337,0.03136793895718987,0.01549426842636004
6,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,PerCapitaIncome,0.06120578525549092,0.0003822010069815046,0.03302364733884606,0.00037732867718752287,0.029912081318304577,-1.5491764365996392e-06
7,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,GDP_per_capita,0.06140999965503613,0.0003769174285830045,0.032945733912299706,0.0003601409606317894,0.028438593765231217,-2.2013833345098806
8,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,heat_death,0.06179270048383201,0.0004252766865345173,0.033693529194645765,0.0003180967061873107,0.029704418187511114,-0.0013688306132207675
9,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_dummy,winter_storm_count,0.06257967776803597,0.00032685358699022617,0.03562695001560698,0.00041241668933967104,0.0328269127832999,0.0003058082464803598
10,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,tropical_storm_dummy,0.06115896707811996,0.0004365345343275888,0.032152144801460204,0.0005039064645649689,0.00023497107498538427,-0.005348870709624425
11,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,tornado_injury,0.06115591317703506,0.0003896023149017326,0.03245983830056224,0.00044662074457934377,0.0002400309943668739,1.3174269002456415e-05
12,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,flood_count,0.06142170942394054,0.0003331327971094633,0.030947165246818766,0.00040168134428254364,0.0002660060299764414,0.00016417266686417033
13,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,flood_death,0.062029585386705555,0.000315321281074269,0.029221347716145835,0.0004260192587584196,0.000283620827329319,0.008104217381628838
14,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,avg_tornado_scale,0.06132800738110156,0.00038847384243216474,0.03145348140507559,0.00044813638635437565,0.00023937360748757088,0.014831748101028734
15,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,PerCapitaIncome,0.061319124471886366,0.0004141911685145269,0.03286601301979276,0.0004229752914327841,0.0002348409010244198,-1.6203888676027295e-06
16,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,GDP_per_capita,0.06153867622319631,0.0004078795012383248,0.03277351461497098,0.0004032158404248393,0.00022763838184580777,-2.2850836726691197
17,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,heat_death,0.06298138521756547,0.0005131887982371875,0.03358170970516287,0.00031906817269024035,0.00041101634021076727,-0.0023545158385277964
18,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,wildfire_count,winter_storm_count,0.06246755940743498,0.00035981336643773227,0.03538123720666942,0.00045950642619422405,0.0002163484525480694,0.0002845095713643934
19,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,tornado_injury,0.06048389013485567,0.0003948562601685576,0.03265635491894176,0.0005481361604257638,-0.010388652232271563,8.156319192347591e-06
20,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,flood_count,0.06065798216743379,0.0003537683063478558,0.031196283287692177,0.0005621512074087118,-0.01488458498432122,0.0001328934673481836
21,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,flood_death,0.061190534236496785,0.0003369326804919431,0.029346720493878944,0.0006161796086747654,-0.0181449527485524,0.007297186347673184
22,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,avg_tornado_scale,0.06064433586665108,0.0003780466398224781,0.03179793554817691,0.000531037674203788,-0.008659210842844184,0.014165667386527029
23,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,PerCapitaIncome,0.06068948940303687,0.0004116414236952624,0.03298094927043255,0.0005379338253933356,-0.011614034021408726,-1.7857793042413184e-06
24,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,GDP_per_capita,0.060966317932675373,0.0004099161777679299,0.032762873253385304,0.0005311271049502937,-0.012927414059936703,-2.545919785392902
25,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,heat_death,0.06133017624018977,0.00047110492116834247,0.033392333838217825,0.0005218969290587941,-0.01569577363420597,-0.0014721792077088817
26,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,winter_storm_count,0.06203893808502681,0.00037816730620816006,0.035157383269111844,0.0006626053714187094,-0.01893346082842185,0.0003113847044362623
27,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,flood_count,0.06057305985618955,0.0002901999758318687,0.032344608220277335,0.0004007942444479164,1.1839667010318782e-05,0.0001138920334239697
28,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,flood_death,0.061068612556295476,0.0002454886667981246,0.030728726885002017,0.0004154735570711979,1.7867125900415e-05,0.006783988150817481
29,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,avg_tornado_scale,0.06061358518053195,0.0003365803570725829,0.032335924861765016,0.00043411960133942466,5.707883551229364e-06,0.014669124350769351
30,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,PerCapitaIncome,0.06064538353692894,0.0003360349298195345,0.0337259831850146,0.00040982876727607654,1.6716856646180563e-05,-1.794746827054772e-06
31,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,GDP_per_capita,0.060911209598507154,0.00032684079652146896,0.033588611920773496,0.00038899670211695156,1.8215484238936415e-05,-2.520777181026751
32,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,heat_death,0.06122402587815712,0.0004199597616402008,0.034415945336441406,0.00034701301312077386,3.0923015824447405e-07,-0.0014106397919801275
33,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,tornado_injury,winter_storm_count,0.061885765960517425,0.00031586087495272236,0.03630303119965286,0.00044708201213906093,2.6754873374395798e-06,0.0002974797012138038
34,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,flood_death,0.06105238327486817,0.0002854954170255683,0.03077723866419731,0.00040925048044783457,8.889181380531482e-06,0.006586913847997325
35,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,avg_tornado_scale,0.06072622901863489,0.0002931720813262558,0.03147576935806026,0.00040491994351342505,0.0001043811250928374,0.013988007458576382
36,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,PerCapitaIncome,0.060794690268635154,0.0003052604995544506,0.03268208186394913,0.00037168358853194593,0.00012519200338009733,-1.8734233479150474e-06
37,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,GDP_per_capita,0.061049352834902204,0.0003018085443542759,0.03256511556086417,0.00035214764030121437,0.00012163132658610979,-2.53553942572678
38,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,heat_death,0.06130106791496548,0.000371430072916687,0.033623718769878554,0.00032674941654795063,8.591972948389148e-05,-0.001366806252811729
39,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_count,winter_storm_count,0.061890484295583637,0.00031035614727541855,0.03606773288155358,0.00044016769879004687,2.2687046966050283e-05,0.0002932019234819946
40,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_death,avg_tornado_scale,0.06119968996434766,0.0002621626669726993,0.02993114071054611,0.0004160618724599305,0.0065297810823470815,0.013415235839460237
41,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_death,PerCapitaIncome,0.06129024723439114,0.0002791402713615636,0.03113947063009668,0.00038712292851257905,0.006918003164694474,-1.9073128460408784e-06
42,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_death,GDP_per_capita,0.06153851345258554,0.00027497570615101207,0.031017238182423183,0.00036717026262348784,0.006832307691516537,-2.541882412081804
43,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_death,heat_death,0.06184548766267661,0.0003276802701954552,0.031841174905587695,0.00033011008456134615,0.006705598502292955,-0.001412901044640349
44,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,flood_death,winter_storm_count,0.06226221481347338,0.00025344684730621206,0.03405803617650003,0.0004318729507703773,0.005280721132660239,0.0002747797648023429
45,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,avg_tornado_scale,PerCapitaIncome,0.060782739015361686,0.00034664004287057173,0.03277448743345724,0.0004123367876249521,0.013622026899371711,-1.6169269025175461e-06
46,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,avg_tornado_scale,GDP_per_capita,0.06104058794211509,0.0003415261594095962,0.032684027560344664,0.00039112263782623214,0.013373620289736087,-2.3891472136088465
47,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,avg_tornado_scale,heat_death,0.06138249144430008,0.00039011238160842105,0.03342480553201534,0.00035243349224891413,0.013870889644691365,-0.0013927264683849714
48,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,avg_tornado_scale,winter_storm_count,0.062006207760447185,0.0002969345671572896,0.03540264466046043,0.0004500075561859747,0.012131203015037936,0.0002921958860384605
49,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,PerCapitaIncome,GDP_per_capita,0.06127533674970609,0.00036504463608903927,0.03268657282054582,0.00036394524927830455,7.514330983699716e-06,-9.12144856719529
50,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,PerCapitaIncome,heat_death,0.06165934417964014,0.00041795409533954133,0.0351596193294028,0.0003004689045704081,-2.6390444843934532e-06,-0.0016497730709341824
51,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,PerCapitaIncome,winter_storm_count,0.06215317395479536,0.0003134943024386847,0.03682233946413369,0.0004218412996287988,-2.0214657710459897e-06,0.00030524184697141394
52,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,GDP_per_capita,heat_death,0.062048595502606885,0.0004138997334409714,0.035006980006323074,0.00026878380534148315,-3.398389535674656,-0.0017511927171044025
53,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,GDP_per_capita,winter_storm_count,0.06238075774958074,0.00030924806231879203,0.03660515524434471,0.0004024599226757379,-2.5639809122037662,0.00030120631378355604
54,Fixed effect,tornado_count,tropical_storm_death,tropical_storm_count,heat_death,winter_storm_count,0.0623547683662945,0.00035869614459861377,0.03681595308062357,0.0003810745094517154,-0.0011042989503812174,0.0002669027547536048
55,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,tropical_storm_dummy,0.06157762864127447,0.00045170923439662825,0.038860934586610316,0.030401037715733294,0.00023280219405839435,0.0032308554596453703
56,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,tornado_injury,0.061572290173655175,0.0004707021378250717,0.039307504653930986,0.03055876534011615,0.0002299558954406801,-2.505853712117061e-06
57,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,flood_count,0.06205523367097321,0.0003424359697424678,0.03601336748976237,0.035165650100520494,0.0002655209525357073,0.00022019595437372164
58,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,flood_death,0.06253937593181624,0.00035291984221179053,0.0354719057922245,0.032257007582947805,0.0002765462471898096,0.00849098494290316
59,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,avg_tornado_scale,0.06176780244684055,0.00043198132626293964,0.03829665107703566,0.030937473954945758,0.0002303769585099413,0.015418395344327944
60,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,PerCapitaIncome,0.061720575743196116,0.0004570449679191921,0.039348917368476725,0.029496344851093006,0.00022656200884944405,-1.505698344642012e-06
61,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,GDP_per_capita,0.061900139937174914,0.0004495215056443362,0.0389908800508247,0.028114148110702394,0.00022038710192830095,-2.0983260616771826
62,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,heat_death,0.06337844284056637,0.0005445544548304998,0.038263488849545814,0.027493154529681475,0.0004016724529070636,-0.002331348256899791
63,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,wildfire_count,winter_storm_count,0.06295859467526754,0.00040424102621907694,0.04248794247336673,0.032431514899499074,0.0002063724935891875,0.0002917410217248753
64,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,tornado_injury,0.060913648590744884,0.0004479768932940405,0.03999567721933729,0.031752812484090946,-0.0011691859471428274,-7.164734263646466e-06
65,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,flood_count,0.06122612468266775,0.0003498667442025902,0.03816437194131719,0.035544944294197724,-0.006765088486530085,0.00017989659281826892
66,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,flood_death,0.06164096270753261,0.0003540821069865272,0.03766087577396831,0.0333285752669793,-0.007614726917408784,0.007391947236036289
67,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,avg_tornado_scale,0.061105096118643454,0.0003910089591001375,0.03876147077588606,0.031932539339289884,0.0005595381661858999,0.01540954625261438
68,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,PerCapitaIncome,0.061082953842151344,0.0004279731408426146,0.04019605081432597,0.030444462310527533,-0.0022537455439225265,-1.622507632464942e-06
69,Fixed effect,tornado_count,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,GDP_per_capita,0.06130244938079621,0.00042604719772444634,0.039963187580423214,0.028905384669652874,-0.0035133249940158067,-2.297176936435653
