,Model,Independent variable,R2,Coefficient_ind,Coefficient_debt_at,Coefficient_debt_assets,Coefficient_debt_ebitda,Coefficient_cash_debt,p-value
0,Pooled OLS,PerCapitaIncome,0.01376200883429124,-1.8705767329817983e-05,0,0,0,0,6.261250817818365e-08
1,Fixed effect,PerCapitaIncome,0.05860999721190352,-1.972675816637132e-06,-0.40247695245065923,1.0965351641855783,0.0003255106901322482,-0.34445235358861587,0.02632220597781802
2,Pooled OLS,GDP_per_capita,0.013812473986124396,-11.556313706695882,0,0,0,0,4.148146114379969e-06
3,Fixed effect,GDP_per_capita,0.05896238331186032,-2.833643205474257,-0.40495561308330524,1.1008819061791464,0.0003263973931205595,-0.34668806488107284,0.009064715756981201
4,Pooled OLS,flood_count,0.0013148596776778598,-0.0007602997217410697,0,0,0,0,0.007432100708777534
5,Fixed effect,flood_count,0.05912446977282926,0.0002489509111432845,-0.4111546930002286,1.0961322505005282,0.00032522182575818665,-0.3388864535721049,0.007593749717202873
6,Pooled OLS,heat_count,0.0021816619215658806,-0.0016219009744327482,0,0,0,0,0.0007986111490960734
7,Fixed effect,heat_count,0.05835609757924343,-2.4922530397764056e-05,-0.4047327869977389,1.0938249127397417,0.0003242007755341303,-0.3388387165196752,0.15159186633553356
8,Pooled OLS,tornado_count,0.010334156624138613,0.0024179810242173816,0,0,0,0,4.27160139404581e-06
9,Fixed effect,tornado_count,0.05952935771958834,0.0005076733584692217,-0.41432573721836724,1.099349013593646,0.000336429612673126,-0.3403637606254656,0.005542730217745688
10,Pooled OLS,tropical_storm_count,0.0036270529472901547,0.004187901980613055,0,0,0,0,4.987635011055591e-05
11,Fixed effect,tropical_storm_count,0.05958352607414885,0.0010126962163476527,-0.40632645568008297,1.0955480149570256,0.0003285381334337834,-0.3409987938719458,0.006214362756663576
12,Pooled OLS,wildfire_count,0.004219394710333835,0.0013757651198045315,0,0,0,0,7.1173671404412e-05
13,Fixed effect,wildfire_count,0.05891283407863812,0.00021055391208479716,-0.4025067012327416,1.0951855667944232,0.00032774218276769796,-0.3393973337347399,0.009777489084224563
14,Pooled OLS,winter_storm_count,0.0004961280978197369,-0.00036003245319067583,0,0,0,0,0.10498532877252642
15,Fixed effect,winter_storm_count,0.05982163170909127,0.00029730114226365987,-0.4143792547201663,1.099031570257434,0.00032004569393304533,-0.34179669687555914,0.006989159089290986
16,Pooled OLS,flood_crop,0.00045447618662119993,5.56409158714336e-10,0,0,0,0,0.03694176802583249
17,Fixed effect,flood_crop,0.058425648441473355,-8.390373123887347e-11,-0.40430108022097755,1.094128075397179,0.00032361361113429784,-0.3382526798361467,0.07467339809085127
18,Pooled OLS,heat_crop,2.2245855548774784e-06,-3.854405301509839e-11,0,0,0,0,0.4381602976037686
19,Fixed effect,heat_crop,0.05841944683480449,-8.140940635023755e-11,-0.4041569404945941,1.0923596280298846,0.00032540095847689637,-0.33774137431262485,0.07796720477624242
20,Pooled OLS,tornado_crop,0.0004897114832120852,-2.9504334081083703e-08,0,0,0,0,0.00524749992072171
21,Fixed effect,tornado_crop,0.05835329229101227,-7.16903769243027e-11,-0.4044449976956503,1.093731220436666,0.0003243025513888865,-0.33880406316419204,0.17136407932941475
22,Pooled OLS,tropical_storm_crop,0.00015350743771092024,1.0101481284055943e-09,0,0,0,0,0.08343163707499768
23,Fixed effect,tropical_storm_crop,0.058357370679651965,-6.049918328581833e-11,-0.40438309931157296,1.0935423128316344,0.00032443837601250485,-0.3387517300438135,0.14719967731969005
24,Pooled OLS,wildfire_crop,0.0005718966024822469,1.5204297663366231e-09,0,0,0,0,0.006908532264945255
25,Fixed effect,wildfire_crop,0.058571661190215285,-3.638610472148235e-10,-0.40958664599369116,1.0964860700621648,0.0003219470098489393,-0.3385555544643952,0.03193882460723052
26,Pooled OLS,winter_storm_crop,0.00023704922537204354,-3.804808384729331e-08,0,0,0,0,0.03389467490900133
27,Fixed effect,winter_storm_crop,0.058399333722602864,-5.998197922646245e-09,-0.40442625366845497,1.0939189907312081,0.00032408026298933574,-0.33857971815723437,0.09148753478740312
28,Pooled OLS,flood_property,1.9455598930795404e-06,-1.539578641649566e-13,0,0,0,0,0.44210577247925
29,Fixed effect,flood_property,0.058414455286096345,-3.3433466046768707e-13,-0.4041613475492353,1.0924054608745564,0.0003253548336788702,-0.33778342296090713,0.08095759264819562
30,Pooled OLS,heat_property,9.537913893176153e-05,-8.386686035701508e-08,0,0,0,0,0.23113694193537393
31,Fixed effect,heat_property,0.058372829437766116,-1.406441601735091e-08,-0.40446991707128305,1.0936468287113295,0.0003242399793767401,-0.33908615668752906,0.11777560705000956
32,Pooled OLS,tornado_property,0.0002733093657821817,8.315280912841544e-11,0,0,0,0,0.04467931118859225
33,Fixed effect,tornado_property,0.05835802500435361,4.0403967426745565e-12,-0.4043807982817615,1.0939502512903583,0.000324273049164239,-0.3386811125890117,0.14524673690128279
34,Pooled OLS,tropical_storm_property,0.0010834083218148605,8.382465976658527e-10,0,0,0,0,0.0002398416944384696
35,Fixed effect,tropical_storm_property,0.05835366261382924,5.777333489674513e-12,-0.4043744145561563,1.0936414810700317,0.00032437498093023764,-0.33887210638560267,0.16512939497545354
36,Pooled OLS,wildfire_property,0.0009452681261196139,2.5241733983844303e-10,0,0,0,0,0.0029217521236044597
37,Fixed effect,wildfire_property,0.05835349132918377,1.4742466139865934e-12,-0.40448933484940813,1.0938326709671384,0.0003243429386606356,-0.3388078848468167,0.1671534274901838
